transaction_id,user_id,timestamp,amount,merchant,location,device,payment_method,hour_of_day,day_of_week,failed_attempts,txn_velocity,account_age_days,avg_user_amount,amount_deviation,is_foreign_location,is_unusual_device,is_fraud
TXN000018,U0284,2024-06-15 18:38:00,163.35,Swiggy,Jaipur,Windows,Wallet,18,5,0,1,583,318.04,0.5136,0,0,0
TXN000019,U0247,2024-12-04 13:31:00,651.81,Zomato,Ahmedabad,Android,Wallet,13,2,0,4,1304,682.02,0.9557,0,0,0
TXN000020,U0480,2024-12-13 21:37:00,16977.49,Amazon,Kolkata,Android,Credit Card,21,4,0,1,1412,3359.59,5.0534,0,0,0
TXN000021,U0153,2024-06-03 06:49:00,14787.65,Meesho,Singapore,Windows,UPI,2,0,1,20,1881,555.56,26.6176,1,0,1
TXN000022,U0387,2024-03-30 04:24:00,2414.77,BookMyShow,Chennai,iOS,Debit Card,4,5,0,1,1833,1543.42,1.5646,0,0,0
TXN000023,U0100,2024-08-23 02:55:00,1306.72,PhonePe Store,Bangalore,Android,Net Banking,2,4,0,4,937,867.32,1.5066,0,0,0
TXN000024,U0182,2024-06-15 05:51:00,6.01,Meesho,USA,MacOS,Net Banking,0,5,1,12,551,465.37,0.0129,1,1,1
TXN000025,U0185,2024-07-24 16:05:00,795.37,Myntra,Jaipur,Windows,Credit Card,16,2,0,2,1503,877.03,0.9069,0,0,0
TXN000026,U0064,2024-11-20 03:33:00,9.5,Meesho,USA,iOS,Credit Card,2,2,2,8,1256,331.55,0.0287,1,1,1
TXN000027,U0350,2024-04-11 05:38:00,1336.89,Flipkart,Surat,Windows,Credit Card,5,3,2,4,1676,885.85,1.5092,0,0,0
TXN000028,U0129,2024-10-15 18:28:00,699.1,Uber,Mumbai,Windows,Wallet,18,1,0,3,968,1211.54,0.577,0,1,0
TXN000029,U0004,2024-02-04 15:28:00,3657.76,MakeMyTrip,Jaipur,Android,UPI,15,6,0,1,1239,5029.27,0.7273,0,0,0
TXN000030,U0498,2024-08-19 01:03:00,1313.13,Uber,Kolkata,Windows,UPI,1,0,0,4,1876,906.56,1.4485,0,0,0
TXN000031,U0159,2024-10-10 23:57:00,297.68,MakeMyTrip,Bangalore,MacOS,Credit Card,23,3,0,4,240,333.18,0.8935,0,1,0
TXN000032,U0005,2024-02-01 14:06:00,1996.55,Ola,Bangalore,iOS,UPI,14,3,0,2,91,867.7,2.301,0,1,0
TXN000033,U0472,2024-12-28 14:28:00,158991.2,Nykaa,USA,Linux,Debit Card,2,5,3,17,989,109.74,1448.799,1,1,1
TXN000034,U0148,2024-06-22 21:38:00,217.42,Myntra,Hyderabad,iOS,UPI,21,5,0,4,1609,292.82,0.7425,0,0,0
TXN000035,U0441,2024-12-02 19:55:00,1948.18,Uber,Bangalore,iOS,Credit Card,19,0,1,3,1899,1610.12,1.21,0,0,0
TXN000036,U0236,2024-12-23 21:25:00,2696.77,Flipkart,Ahmedabad,iOS,Debit Card,21,0,0,3,157,2067.14,1.3046,0,0,0
TXN000037,U0483,2024-12-09 22:53:00,304.09,BookMyShow,Jaipur,Linux,UPI,22,0,0,4,1356,219.98,1.3824,0,1,0
TXN000038,U0351,2024-01-10 11:19:00,973.16,Nykaa,Bangalore,iOS,Net Banking,11,2,0,2,265,1496.53,0.6503,0,0,0
TXN000039,U0491,2024-05-31 03:32:00,648.03,BookMyShow,Delhi,iOS,UPI,3,4,0,2,1232,1087.92,0.5957,0,0,0
TXN000040,U0241,2024-03-19 05:11:00,374.22,Nykaa,Chennai,Android,Credit Card,5,1,0,1,1132,496.45,0.7538,0,1,0
TXN000041,U0448,2024-12-12 23:15:00,500.56,Nykaa,Jaipur,Windows,Net Banking,23,3,0,2,642,428.43,1.1684,0,0,0
TXN000042,U0471,2024-08-28 06:23:00,1044.37,PayTM Mall,Ahmedabad,iOS,Net Banking,6,2,0,4,1558,832.93,1.2539,0,0,0
TXN000043,U0035,2024-08-02 05:52:00,1868.48,Meesho,Hyderabad,iOS,Debit Card,5,4,0,4,851,2496.25,0.7485,0,0,0
TXN000044,U0088,2024-10-10 03:45:00,821.28,BigBasket,Chennai,iOS,UPI,3,3,0,3,1945,1523.48,0.5391,0,1,0
TXN000045,U0084,2024-09-19 04:53:00,605.11,Zomato,Hyderabad,MacOS,Net Banking,4,3,1,1,168,653.1,0.9265,0,1,0
TXN000046,U0460,2024-07-21 16:23:00,420.49,Myntra,Kolkata,Linux,Credit Card,16,6,0,1,1333,331.0,1.2704,0,1,0
TXN000047,U0103,2024-11-28 10:50:00,550.49,Meesho,Bangalore,Android,Net Banking,10,3,0,2,862,778.43,0.7072,0,0,0
TXN000048,U0012,2024-08-28 14:39:00,1190.92,BigBasket,Pune,iOS,Credit Card,14,2,0,4,599,688.33,1.7302,0,0,0
TXN000049,U0111,2024-05-27 07:19:00,213.64,Uber,Chennai,Android,Wallet,7,0,0,1,149,160.97,1.3272,0,0,0
TXN000050,U0099,2024-09-12 19:34:00,414.71,Zomato,Delhi,iOS,Credit Card,19,3,0,1,977,1102.26,0.3762,0,0,0
TXN000051,U0356,2024-05-03 18:26:00,254.34,BookMyShow,Surat,iOS,Debit Card,18,4,0,1,929,402.41,0.632,0,0,0
TXN000052,U0174,2024-08-28 01:40:00,1969.55,Ola,Jaipur,iOS,UPI,1,2,0,1,1421,1542.49,1.2769,0,0,0
TXN000053,U0362,2024-12-02 20:06:00,6126.19,Myntra,Delhi,Windows,Credit Card,20,0,0,3,690,5078.34,1.2063,0,0,0
TXN000054,U0156,2024-03-30 21:29:00,499.44,Swiggy,Surat,iOS,Credit Card,21,5,0,4,291,536.81,0.9304,0,0,0
TXN000055,U0238,2024-04-13 01:50:00,4.93,Meesho,Singapore,Android,Wallet,2,5,4,20,70,1321.41,0.0037,1,1,1
TXN000056,U0346,2024-11-27 06:18:00,2284.41,Meesho,Hyderabad,Android,Debit Card,6,2,0,3,620,1383.05,1.6517,0,0,0
TXN000057,U0071,2024-07-23 23:28:00,1627.06,Swiggy,Pune,Android,Net Banking,23,1,0,3,292,1574.03,1.0337,0,0,0
TXN000058,U0466,2024-09-22 08:51:00,1301.77,PhonePe Store,Mumbai,iOS,Wallet,8,6,2,2,699,879.22,1.4806,0,0,0
TXN000059,U0451,2024-06-13 03:05:00,3143.44,PayTM Mall,Pune,iOS,Wallet,3,3,0,2,248,1030.01,3.0519,0,0,0
TXN000060,U0163,2024-06-28 14:02:00,2928.83,MakeMyTrip,Hyderabad,MacOS,Net Banking,14,4,0,1,1835,3493.28,0.8384,0,1,0
TXN000061,U0320,2024-11-22 12:23:00,24530.31,Unknown_Merchant,USA,iOS,Wallet,1,4,4,6,123,962.81,25.4778,1,0,1
TXN000062,U0429,2024-04-30 20:23:00,7193.83,Amazon,Surat,MacOS,Wallet,20,1,0,4,510,3160.31,2.2763,0,1,0
TXN000063,U0419,2024-07-09 14:48:00,5124.65,Myntra,Ahmedabad,Android,Net Banking,14,1,0,3,1107,3566.35,1.4369,0,0,0
TXN000064,U0151,2024-02-28 00:47:00,2378.78,BookMyShow,Jaipur,Windows,UPI,0,2,0,3,905,1408.8,1.6885,0,0,0
TXN000065,U0462,2024-04-19 19:18:00,1363.54,Zomato,Delhi,Linux,UPI,19,4,0,1,228,1135.99,1.2003,0,1,0
TXN000066,U0007,2024-12-31 14:05:00,8611.03,Myntra,Bangalore,Linux,Debit Card,14,1,0,3,84,5319.92,1.6186,0,1,0
TXN000067,U0085,2024-03-21 22:45:00,1270.9,Nykaa,Ahmedabad,iOS,Debit Card,22,3,0,1,175,488.58,2.6012,0,0,0
TXN000068,U0007,2024-03-12 07:50:00,10009.74,MakeMyTrip,Jaipur,Windows,Debit Card,7,1,0,2,84,5319.92,1.8816,0,0,0
TXN000069,U0061,2024-02-14 02:19:00,2654.12,PayTM Mall,Jaipur,Windows,Wallet,2,2,0,4,437,679.14,3.9081,0,0,0
TXN000070,U0302,2024-02-07 04:20:00,411.96,Uber,Hyderabad,Android,Wallet,4,2,0,2,632,626.29,0.6578,0,0,0
TXN000071,U0449,2024-03-07 13:32:00,1541.23,Flipkart,Ahmedabad,Windows,Wallet,13,3,0,2,542,655.98,2.3495,0,0,0
TXN000072,U0361,2024-12-29 07:22:00,701.55,BigBasket,Jaipur,Android,UPI,7,6,0,3,1851,1843.36,0.3806,0,0,0
TXN000073,U0361,2024-06-04 19:34:00,1601.85,MakeMyTrip,Surat,Android,Wallet,19,1,0,3,1851,1843.36,0.869,0,0,0
TXN000074,U0299,2024-10-15 01:52:00,2769.35,Uber,Kolkata,Windows,Wallet,1,1,0,2,1582,2472.2,1.1202,0,0,0
TXN000075,U0185,2024-08-01 19:40:00,591.06,BookMyShow,Jaipur,Windows,Debit Card,19,3,0,3,1503,877.03,0.6739,0,0,0
TXN000076,U0086,2024-12-16 12:19:00,1057.83,Swiggy,Jaipur,Android,Net Banking,12,0,0,4,600,663.97,1.5932,0,0,0
TXN000077,U0494,2024-11-06 04:20:00,699.98,Meesho,Kolkata,iOS,Debit Card,4,2,2,2,97,463.46,1.5103,0,0,0
TXN000078,U0097,2024-09-20 17:06:00,1120.26,BigBasket,Bangalore,Android,Net Banking,17,4,0,1,1128,1474.57,0.7597,0,0,0
TXN000079,U0381,2024-07-15 19:26:00,8.56,Meesho,Singapore,iOS,Debit Card,4,0,2,10,876,473.56,0.0181,1,0,1
TXN000080,U0340,2024-09-20 14:31:00,601.09,Flipkart,Kolkata,Windows,Net Banking,14,4,0,2,462,624.08,0.9632,0,0,0
TXN000081,U0457,2024-06-29 01:03:00,880.97,Meesho,Hyderabad,Windows,Net Banking,1,5,0,1,1556,985.32,0.8941,0,0,0
TXN000082,U0270,2024-08-08 04:56:00,1735.43,PhonePe Store,Chennai,Windows,Debit Card,4,3,0,1,1417,1249.8,1.3886,0,0,0
TXN000083,U0045,2024-04-09 11:35:00,246.39,PayTM Mall,Bangalore,Android,Wallet,11,1,0,1,1073,250.0,0.9856,0,0,0
TXN000084,U0103,2024-02-19 12:23:00,493.45,Myntra,Bangalore,Android,Credit Card,12,0,0,4,862,778.43,0.6339,0,0,0
TXN000085,U0412,2024-01-24 01:08:00,177.04,BookMyShow,Hyderabad,Android,Net Banking,1,2,0,2,814,356.15,0.4971,0,1,0
TXN000086,U0394,2024-11-09 10:10:00,2189.96,Meesho,Mumbai,Windows,Debit Card,10,5,0,4,1734,6846.27,0.3199,0,0,0
TXN000087,U0402,2024-06-02 15:52:00,897.32,Flipkart,Delhi,Android,Net Banking,15,6,0,1,595,602.22,1.49,0,0,0
TXN000088,U0200,2024-05-15 20:50:00,1104.37,Zomato,Surat,iOS,UPI,20,2,0,2,934,349.68,3.1582,0,0,0
TXN000089,U0315,2024-11-13 12:09:00,3216.79,MakeMyTrip,Chennai,Windows,UPI,12,2,0,4,1252,4045.98,0.7951,0,0,0
TXN000090,U0420,2024-03-18 13:44:00,853.57,MakeMyTrip,Ahmedabad,Android,Net Banking,13,0,1,1,1509,1173.23,0.7275,0,0,0
TXN000091,U0491,2024-09-22 06:35:00,1202.84,BookMyShow,Jaipur,iOS,Net Banking,6,6,0,2,1232,1087.92,1.1056,0,0,0
TXN000092,U0403,2024-09-29 10:34:00,1095.57,Ola,Pune,Android,Debit Card,10,6,0,2,1943,1102.4,0.9938,0,1,0
TXN000093,U0226,2024-05-22 17:19:00,2516.58,BigBasket,Bangalore,Linux,Debit Card,17,2,0,4,597,3258.27,0.7724,0,1,0
TXN000094,U0209,2024-06-27 17:59:00,1665.46,BigBasket,Ahmedabad,Windows,UPI,17,3,0,4,1770,1835.46,0.9074,0,0,0
TXN000095,U0094,2024-07-21 11:49:00,548.76,BigBasket,Bangalore,Windows,UPI,11,6,0,4,140,790.24,0.6944,0,0,0
TXN000096,U0146,2024-09-02 06:12:00,1890.79,BookMyShow,Chennai,Android,Debit Card,6,0,0,2,219,2396.64,0.7889,0,0,0
TXN000097,U0135,2024-12-08 16:14:00,333.51,PhonePe Store,Delhi,iOS,Debit Card,16,6,0,1,1737,437.28,0.7627,0,0,0
TXN000098,U0022,2024-03-11 00:35:00,737.86,Uber,Surat,Android,Net Banking,0,0,0,2,1384,875.0,0.8433,0,0,0
TXN000099,U0235,2024-05-27 10:18:00,15142.16,Flipkart,Pune,MacOS,Wallet,10,0,0,1,1141,9357.6,1.6182,0,1,0
TXN000100,U0275,2024-03-30 13:56:00,286.69,Amazon,Chennai,MacOS,Net Banking,13,5,0,2,1632,410.96,0.6976,0,1,0
TXN000101,U0460,2024-05-28 01:00:00,476.38,Myntra,Kolkata,Android,Debit Card,1,1,0,4,1333,331.0,1.4392,0,0,0
TXN000102,U0199,2024-03-09 16:29:00,1859.42,Myntra,Surat,Android,Credit Card,16,5,0,3,1370,1162.36,1.5997,0,1,0
TXN000103,U0458,2024-01-08 23:21:00,646.53,Nykaa,Bangalore,iOS,Credit Card,23,0,0,4,1618,389.46,1.6601,0,0,0
TXN000104,U0217,2024-09-20 10:05:00,782.49,Swiggy,Jaipur,Android,Net Banking,10,4,0,2,1908,506.32,1.5454,0,0,0
TXN000105,U0200,2024-07-15 07:28:00,9.45,Meesho,Unknown_Location,Windows,Wallet,4,0,1,13,934,349.68,0.027,1,1,1
TXN000106,U0222,2024-12-20 07:03:00,166.61,Swiggy,Jaipur,iOS,Net Banking,7,4,0,3,1731,169.48,0.9831,0,0,0
TXN000107,U0485,2024-11-23 09:23:00,1053.24,Swiggy,Ahmedabad,Windows,Net Banking,9,5,0,3,648,514.73,2.0462,0,0,0
TXN000108,U0298,2024-10-08 15:48:00,2553.07,Zomato,Bangalore,Windows,Credit Card,15,1,0,1,862,1491.14,1.7122,0,0,0
TXN000109,U0409,2024-09-27 22:23:00,1452.26,Amazon,Kolkata,Windows,Wallet,22,4,1,2,1592,1236.82,1.1742,0,0,0
TXN000110,U0405,2024-03-17 05:20:00,412.7,Uber,Kolkata,iOS,Credit Card,5,6,0,4,1516,699.2,0.5902,0,0,0
TXN000111,U0291,2024-09-18 14:51:00,398.26,PhonePe Store,Pune,iOS,Net Banking,14,2,0,4,88,890.58,0.4472,0,0,0
TXN000112,U0332,2024-06-06 23:01:00,609.32,Ola,Bangalore,iOS,Credit Card,23,3,0,1,1172,447.08,1.3629,0,1,0
TXN000113,U0196,2024-12-24 02:34:00,2459.92,Flipkart,Surat,MacOS,Net Banking,2,1,0,4,1152,1612.14,1.5259,0,1,0
TXN000114,U0120,2024-03-10 20:46:00,1411.82,PhonePe Store,Bangalore,iOS,Net Banking,20,6,1,4,275,2326.06,0.607,0,0,0
TXN000115,U0215,2024-12-15 21:55:00,210.97,Myntra,Pune,Android,UPI,21,6,0,4,390,800.1,0.2637,0,0,0
TXN000116,U0497,2024-04-24 00:48:00,644.58,Uber,Kolkata,Android,Wallet,0,2,0,4,1434,388.68,1.6584,0,0,0
TXN000117,U0031,2024-05-06 14:22:00,889.5,Ola,Bangalore,Android,UPI,14,0,0,4,976,600.82,1.4805,0,0,0
TXN000118,U0137,2024-01-09 07:13:00,798.25,PayTM Mall,Surat,Windows,Wallet,7,1,0,1,1113,501.07,1.5931,0,0,0
TXN000119,U0134,2024-01-23 12:28:00,1322.63,Meesho,Bangalore,iOS,UPI,12,1,0,3,613,1760.92,0.7511,0,0,0
TXN000120,U0329,2024-10-21 10:36:00,2509.04,Myntra,Mumbai,Windows,Credit Card,10,0,0,2,1319,2046.98,1.2257,0,0,0
TXN000121,U0257,2024-09-23 07:26:00,5385.11,MakeMyTrip,Mumbai,iOS,Credit Card,7,0,0,4,69,3892.91,1.3833,0,0,0
TXN000122,U0424,2024-01-25 11:41:00,4669.94,Myntra,Pune,Android,Net Banking,11,3,0,3,194,2897.41,1.6118,0,1,0
TXN000123,U0259,2024-10-02 15:15:00,1000.75,Ola,Chennai,Android,Credit Card,15,2,0,1,1361,1709.27,0.5855,0,0,0
TXN000124,U0017,2024-08-01 17:33:00,643.89,Zomato,Hyderabad,Windows,Debit Card,17,3,0,4,970,398.29,1.6166,0,0,0
TXN000125,U0175,2024-02-17 17:46:00,1860.54,PhonePe Store,Chennai,iOS,Wallet,17,5,0,1,1953,1446.19,1.2865,0,0,0
TXN000126,U0229,2024-10-27 23:42:00,1137.91,Meesho,Mumbai,Windows,Debit Card,23,6,0,1,615,536.3,2.1218,0,0,0
TXN000127,U0053,2024-04-07 23:07:00,1250.85,Zomato,Mumbai,Windows,Wallet,23,6,0,4,1842,557.29,2.2445,0,0,0
TXN000128,U0259,2024-10-09 10:49:00,1269.18,Uber,Kolkata,Android,Debit Card,10,2,0,3,1361,1709.27,0.7425,0,0,0
TXN000129,U0150,2024-09-11 14:06:00,1625.47,Nykaa,Bangalore,Windows,Debit Card,14,2,1,3,934,1475.84,1.1014,0,0,0
TXN000130,U0260,2024-01-24 18:55:00,2552.49,BigBasket,Mumbai,Windows,Wallet,18,2,1,4,112,2379.47,1.0727,0,0,0
TXN000131,U0191,2024-04-10 10:14:00,377.24,PayTM Mall,Pune,iOS,Wallet,10,2,0,3,854,701.69,0.5376,0,0,0
TXN000132,U0180,2024-09-07 23:41:00,20872.15,Ola,Mumbai,iOS,Debit Card,23,5,0,4,1271,16650.06,1.2536,0,0,0
TXN000133,U0448,2024-10-04 20:03:00,412.15,Flipkart,Kolkata,iOS,UPI,20,4,0,4,642,428.43,0.962,0,1,0
TXN000134,U0285,2024-11-18 07:04:00,6206.87,BookMyShow,Hyderabad,Windows,Net Banking,7,0,0,4,1616,9256.06,0.6706,0,0,0
TXN000135,U0058,2024-01-09 00:34:00,1401.6,BookMyShow,Chennai,Windows,Debit Card,0,1,0,3,1590,804.96,1.7412,0,0,0
TXN000136,U0055,2024-12-23 21:27:00,172575.21,Unknown_Merchant,Singapore,Android,Credit Card,4,0,2,11,631,3074.81,56.1255,1,0,1
TXN000137,U0043,2024-05-09 11:17:00,1034.66,PhonePe Store,Bangalore,iOS,Net Banking,11,3,0,2,1868,976.87,1.0592,0,0,0
TXN000138,U0229,2024-02-11 20:54:00,366.44,PhonePe Store,Mumbai,Windows,Net Banking,20,6,0,4,615,536.3,0.6833,0,0,0
TXN000139,U0005,2024-01-05 22:10:00,8.28,Unknown_Merchant,Dubai,MacOS,Debit Card,22,4,5,8,91,867.7,0.0095,1,1,1
TXN000140,U0042,2024-01-22 07:13:00,1590.56,MakeMyTrip,Pune,iOS,Net Banking,7,0,0,1,1559,1301.62,1.222,0,0,0
TXN000141,U0363,2024-05-23 17:36:00,603.95,Meesho,Surat,iOS,Debit Card,17,3,0,2,82,983.62,0.614,0,0,0
TXN000142,U0329,2024-12-30 12:59:00,2543.01,Zomato,Mumbai,Windows,Wallet,12,0,0,4,1319,2046.98,1.2423,0,0,0
TXN000143,U0451,2024-10-03 10:24:00,795.51,Ola,Mumbai,iOS,UPI,10,3,0,3,248,1030.01,0.7723,0,0,0
TXN000144,U0037,2024-08-11 07:53:00,1.36,Unknown_Merchant,Dubai,Windows,Debit Card,23,6,1,13,674,1351.36,0.001,1,0,1
TXN000145,U0254,2024-08-18 15:14:00,3067.15,PhonePe Store,Bangalore,MacOS,Credit Card,15,6,0,4,699,3079.32,0.996,0,1,0
TXN000146,U0004,2024-11-12 09:51:00,3873.8,BigBasket,Jaipur,Android,Credit Card,9,1,0,2,1239,5029.27,0.7703,0,0,0
TXN000147,U0485,2024-06-11 11:06:00,292.8,PayTM Mall,Ahmedabad,MacOS,Debit Card,11,1,0,1,648,514.73,0.5688,0,1,0
TXN000148,U0314,2024-04-05 13:28:00,4398.74,Flipkart,Ahmedabad,iOS,UPI,13,4,0,1,1513,2473.8,1.7781,0,0,0
TXN000149,U0364,2024-06-15 12:00:00,1374.69,Flipkart,Mumbai,Android,Wallet,12,5,1,2,1999,1638.79,0.8388,0,0,0
TXN000150,U0254,2024-03-27 21:24:00,3365.58,BigBasket,Bangalore,iOS,Net Banking,21,2,0,2,699,3079.32,1.093,0,0,0
TXN000151,U0208,2024-08-03 09:30:00,2187.65,Zomato,Delhi,Android,Net Banking,9,5,0,2,531,1833.14,1.1934,0,0,0
TXN000152,U0366,2024-03-10 09:00:00,3022.76,MakeMyTrip,Jaipur,Windows,Net Banking,9,6,0,3,1712,734.2,4.1171,0,0,0
TXN000153,U0168,2024-08-08 20:38:00,18336.97,Ola,Hyderabad,iOS,Credit Card,20,3,0,2,485,7308.5,2.509,0,0,0
TXN000154,U0246,2024-06-12 09:47:00,616.78,MakeMyTrip,Pune,Windows,Credit Card,9,2,0,3,368,784.85,0.7859,0,0,0
TXN000155,U0370,2024-07-20 11:07:00,846.84,BookMyShow,Ahmedabad,iOS,Credit Card,11,5,0,1,1330,506.23,1.6728,0,0,0
TXN000156,U0182,2024-08-24 22:13:00,632.3,Ola,Surat,Android,UPI,22,5,0,4,551,465.37,1.3587,0,0,0
TXN000157,U0427,2024-03-12 20:19:00,440.46,Ola,Kolkata,Windows,Net Banking,20,1,0,1,1501,417.83,1.0542,0,0,0
TXN000158,U0130,2024-11-02 15:37:00,994.34,Meesho,Surat,Windows,Net Banking,15,5,0,3,234,662.83,1.5001,0,0,0
TXN000159,U0332,2024-10-01 19:40:00,336.26,Zomato,Ahmedabad,Android,Debit Card,19,1,0,1,1172,447.08,0.7521,0,0,0
TXN000160,U0116,2024-11-26 21:41:00,1577.22,Nykaa,Jaipur,Android,Net Banking,21,1,0,1,146,1482.59,1.0638,0,0,0
TXN000161,U0444,2024-09-18 23:33:00,656.01,Zomato,Ahmedabad,iOS,Net Banking,23,2,0,4,1395,1003.13,0.654,0,0,0
TXN000162,U0035,2024-10-28 22:32:00,3264.68,PayTM Mall,Hyderabad,Linux,UPI,22,0,0,1,851,2496.25,1.3078,0,1,0
TXN000163,U0268,2024-03-13 11:19:00,372.45,BookMyShow,Mumbai,Android,Net Banking,11,2,0,1,667,262.4,1.4194,0,0,0
TXN000164,U0060,2024-12-22 14:20:00,3067.8,Ola,Mumbai,Windows,UPI,14,6,0,3,641,2908.94,1.0546,0,0,0
TXN000165,U0430,2024-12-12 05:59:00,79.83,Swiggy,Surat,Android,Wallet,5,3,0,4,1559,188.91,0.4226,0,0,0
TXN000166,U0493,2024-04-28 12:40:00,757.13,PhonePe Store,Mumbai,iOS,Net Banking,12,6,0,2,1290,1184.85,0.639,0,0,0
TXN000167,U0254,2024-08-07 12:00:00,1871.94,Nykaa,Hyderabad,iOS,UPI,12,2,0,2,699,3079.32,0.6079,0,0,0
TXN000168,U0386,2024-04-10 14:07:00,1085.24,BookMyShow,Jaipur,Windows,Debit Card,14,2,0,4,1929,1274.61,0.8514,0,1,0
TXN000169,U0274,2024-06-27 11:54:00,2153.21,Uber,Chennai,Windows,Debit Card,11,3,1,1,1259,1107.91,1.9435,0,0,0
TXN000170,U0337,2024-06-09 03:15:00,297.12,Ola,Surat,iOS,Credit Card,3,6,0,4,655,480.34,0.6186,0,0,0
TXN000171,U0252,2024-10-21 12:27:00,5182.5,Ola,Ahmedabad,Android,Credit Card,12,0,0,4,132,2745.89,1.8874,0,0,0
TXN000172,U0057,2024-04-05 10:53:00,474.36,Myntra,Hyderabad,Windows,UPI,10,4,0,2,1823,473.8,1.0012,0,0,0
TXN000173,U0083,2024-10-14 16:41:00,7836.35,PhonePe Store,Bangalore,Android,Net Banking,16,0,0,1,175,4807.32,1.6301,0,0,0
TXN000174,U0253,2024-04-22 09:02:00,5744.67,Swiggy,Chennai,iOS,Net Banking,9,0,0,4,700,9155.92,0.6274,0,0,0
TXN000175,U0483,2024-02-27 18:07:00,159.31,Myntra,Surat,Android,Wallet,18,1,0,1,1356,219.98,0.7242,0,0,0
TXN000176,U0220,2024-08-13 17:13:00,749.08,Meesho,Surat,Windows,Credit Card,17,1,0,1,679,1190.2,0.6294,0,0,0
TXN000177,U0213,2024-06-27 02:28:00,1135.07,Nykaa,Kolkata,Android,Credit Card,2,3,0,3,1373,2846.94,0.3987,0,0,0
TXN000178,U0489,2024-11-08 20:27:00,8148.58,Zomato,Bangalore,Windows,Credit Card,20,4,0,3,307,5926.22,1.375,0,0,0
TXN000179,U0175,2024-11-01 17:10:00,2013.46,BigBasket,Jaipur,iOS,Wallet,17,4,0,1,1953,1446.19,1.3923,0,0,0
TXN000180,U0253,2024-07-29 01:17:00,4248.78,Meesho,Kolkata,iOS,Credit Card,1,0,0,3,700,9155.92,0.464,0,0,0
TXN000181,U0038,2024-12-12 12:31:00,242.06,Uber,Bangalore,Windows,Net Banking,12,3,0,1,1052,154.52,1.5665,0,0,0
TXN000182,U0399,2024-02-17 12:32:00,1050.6,Myntra,Mumbai,Windows,Net Banking,12,5,2,3,326,977.95,1.0743,0,0,0
TXN000183,U0022,2024-02-17 23:29:00,1647.89,Meesho,Mumbai,Android,UPI,23,5,0,4,1384,875.0,1.8833,0,0,0
TXN000184,U0474,2024-08-07 06:31:00,4748.79,Myntra,Bangalore,iOS,Wallet,6,2,0,4,1513,4302.17,1.1038,0,1,0
TXN000185,U0455,2024-12-15 01:02:00,1061.71,PayTM Mall,Pune,Android,UPI,1,6,0,2,46,645.32,1.6452,0,1,0
